English,Malay
ling,n. rumpun kecil pokok bunga yang bunganya berbentuk loceng.
ling,n. sejenis ikan laut yang terdapat di Eropah.
linger,v.i. berlambat-lambat.
lingerie,n. pakaian dalam wanita.
lingo,n. {pl. -oes) {joc. atau derog.) bahasa asing yang tidak diketahui.
lingua,franca bahasa yang digunakan sebagai bahasa perantaraan.
lingual,a. tentang lidah; tentang ucapan atau bahasa.
linguist,n. ahli bahasa; ahli linguistik. linguistic a. berkenaan ilmu bahasa; linguistik.
linguistics,n. ilmu bahasa; linguistik. liniment n. minyak urat.
lining,n. lapisan.
link,n. hubungan. -v.t. menghubung- kan; menyambungkan; mengaitkan. linkage n. sambungan.
links,n. atau n.pl. padang golf.
lino,n. kependekan bagi linoleum.
linocut,n. potongan lino; potongan lakaran atas kepingan linoleum.
linoleum,n. linoleum; sejenis alas tebal dan kuat untuk menutupi lantai.
linseed,n. biji rami.
lint,n. kain tiras; lin.
lintel,n. tutup jenang; kepingan kayu yang melintang di atas pintu.
lion,n. singa. lion's share bahagian ter- besar. lioness n. fem. singa betina.
lionize,v.t. mengagung-agungkan.
lip,n. bibir. lip-read v.t.i. memahami apa yang dikatakan daripada per-
gerakan,bibir pembicara. pay lip- service berpura-pura menyokong; cakap sahaja. lipped a. mempunyai bibir atau menyerupai bibir.
liposuction,n. pembuangan lemak di bawah kulit secara sedutan yang digunakan dalam pembedahan kosmetik.
lipsalve,n. ubat sapu untuk bibir.
lipstick,n. gincu.
liquefy,v.t.i. mencecairkan; melebur- kan. liquefaction n. perihal men- jadikan cecair.
liquer,n. minuman alkohol.
liquid,n. cecair. -a. dalam bentuk cecair; bunyi yang mengalir dengan baik; harta yang senang ditukarkan menjadi wang tunai. liquidity n. senang ditukarkan kepada tunai (harta).
liquidate,v.t. membay ar dan menjelas- kan hutang. liquidation n. peman- suhan atau pembubaran. liquidator n. orang yang bertanggungjawab membubarkan.
liquidize,v.t. menjadikan cecair; mengisar menjadi hancur berair. liquidizer n. pengisar (basah).
liquor,n. arak; minuman keras.
liquorice,n. likuoris; bahan hitam yang diperoleh daripada sejenis pohon dan digunakan dalam ubat atau gula-gula.
lira,n. (pl. lire) unit wang di kali dan Turki.
lisp,n. kepelatan (menyebut huruf 's' dan 'z'). -v.t.i. pelat menyebut huruf 's' dan 'z'.
lissom,a. lincah; tangkas dan lemah- gemalai.
list,n. senarai. -v.t. menyenaraikan; dimasukkan dalam senarai. enter the lists menerima atau memberi cabaran.
list,v.i. (bagi kapal) senget.
listen,"v.i. mendengar. listen in men- dengar perbualan; mendengar siaran radio, listener n. pendengar."
listeria,n. listeria; bakteria dalam makanan yang dicemari.
listless,a. terlalu letih; tidak berdaya. listlessly adv. dengan tidak bermaya. listlessness n. kepenatan; kemalasan; kelemahan.
lit,lihat light' dan light'.
litany,n. sejenis doa.
litchi,"n. (pl. -is) pokok laici; buah laici. liter n. (A.S.)  litre unit untuk men- yukat cecair dalam kiraan metrik, bersamaan dengan 1 % pain; liter."
literacy,n. melek huruf; kebolehan membaca dan menulis.
literal,"a. harfiah; literal, literally adv. secara harfiah. literalness n. perihal keharfiahan."
literary,a. ( berkenaan) kesusasteraan; tentang sastera dan hasil seni.
literate,a. dapat menulis dan membaca.
literati,pl. n. orang berpelajaran yang berminat dalam kesusasteraan.
literature,n. kesusasteraan.
lithe,a. yang dapat dilentur.
lithium,n. litium; sejenis elemen logam. lithograph n. litograf; sesuatu yang dicetak dengan menggunakan proses litografi.
lithography,n. litografi; proses per- cetakan yang menggunakan cap batu atau logam. lithographic a. berkenaan litograf.
litigant,n. pendakwa.
litigate,v. membawa pertikaian atau tuntutan kepada undang-undang mahkamah. litigation n. tindakan undang-undang; dakwaan.
litigious,a. litigasi; cenderung mem- buat tuntutan melalui mahkamah.
litmus,"n. litmus; sejenis bahan berwama biru yang menjadi merah apabila dibubuh asid dan kembali menjadi biru dengan alkali, litmus-paper n. kertas litmus."
litotes,n. kata-kata yang bersifat ironi (contoh: saya tidak sepatutnya bersedih bagi menyatakan saya sepatutnya gembira).
litre,n. liter.
litter,n. sampah sarap; kotoran. -v.t. menyepahkan; mengotorkan; melahir- kan.
little,a. kecil; sedikit. -n. jumlah. waktu atau jarak yang kecil. -adv. kurang; sedikit.
littoral,a. & n. (kawasan) litoral; pesi- sir pantai.
liturgy,n. liturgi; upacara di gereja. liturgical a. bersifat liturgi.
live,a. hidup. live wire orang yang cergas dan berpengaruh.
live,v.t.i. bernyawa; mempunyai nya- wa; terus wujud; hidup; tinggal. live down membuat atau berkelakuan supaya perbuatan pada masa s!am dapat dilupakan. live it up hidup dengan mewah. live on terus hidup. liveable a. sesuai didiami.
livelihood,n. mata pencarian.
livelong,a. the livelong day sepanjang hari.
lively,"a. (-ier, -iest) penuh dengan aksi atau tenaga; cergas; rancak. liveliness n. kecergasan; kerancakan."
liven,v.t.i. menjadi bersemangat; segar.
liver,n. hati; organ besar di dalam badan yang tugasnya mengeluarkan hempedu dan membersihkan darah.
liveried,a. menggunakan pakaian seragam.
livery,n. pakaian seragam.
livestock,n. binatang temakan.
livid,a. biru kekelabuan; lebam; (colloq.) teramat marah.
living,a. hidup; masih hidup; serupa. -n. perihal hidup: kehidupan; cara penghidupan; mata pencarian. livingroom bilik untuk kegunaan harian; bilik tamu.
lizard,n. cicak; bengkarung.
llama,n. llama; sejenis binatang seperti unta yang berbulu tebal untuk meng- angkut barang di Amerika Selatan.
load,n. muatan; beban; jumlah kuasa elektrik yang dibekalkan oleh penjana; (pl.; colloq.) banyak. - v.t.i. meletakkan muatan di dalam atau di atas kenderaan; menerima muatan; meletakkan muatan yang berat; memasukkan peluru ke dalam senapang; mengisi filem ke dalam kamera. loader n. orang atau jentera yang memuatkan jentolak.
loaf,n. (pl. loaves) sebuku roti; (si.) kepala.
loaf,v.i. bermalas-malasan dan mem- buang masa; melepak. loafer n. orang yang malas dan suka ponteng; kaki lepak.
loam,n. tanah gembur yang subur. loamy a. bergembur; peroi.
loan,n. pinjaman. -v.t. (colloq.) meminjamkan.
loath,a. tidak mahu; tidak suka.
loathe,"v.t. berasa tidak suka dan benci sangat-sangat. loathings, kebencian. loathsome a. tidak digemari dan diminati; rhenjijikkan."
lob,v.t. (p.t. lobbed) memukul atau membaling bola tinggi. -n. bola tinggi.
lobar,a. (tentang) bahagian berbentuk bulat (misalnya pada paru-paru).
lobby,n. ruang legar; kumpulan yang cuba mempengaruhi. -v.t. melobi; cuba mempengaruhi seorang wakil rakyat untuk menyokong tujuan sese- orang.
lobbyist,"n. pelobi wakil rakyat, dsb. lobe n. cuping telinga; lobus."
lobelia,n. sejenis pokok yang ber- bunga.
lobotomy,n. lobotomi; pembedahan pada otak.
lobster,"n. udang karang; lobster, lobster-pot n. bakul untuk menang- kap udang karang."
local,a. setempat; tempatan. -n. pen- duduk setempat; (colloq.) bangunan yang menjual minuman keras. local colour penerangan yang panjang lebar tentang pemandangan atau suasana sesuatu babak dalam cerita supaya kelihatan lebih realistik. local government kerajaan setempat. locally adv. perihal setempat.
locale,n. tempat kejadian.
locality,n. kedudukan sesuatu; kawa- san yang terdapat sesuatu di situ.
localize,a. menyetempatkan; memusat- kan kepada satu tempat sahaja.
locate,v.t. mencari atau mengesan sesuatu tempat; menempatkan.
location,n. penempatan; kedudukan sesuatu tempat. on location (filem) penggambaran di luar studio.
loch,n. (Sc.) danau; tasik.
loci,n. (pl. of locus) latar tempat.
lock,n. rambut yang berkelok; ikal rambut; (pl.) rambut.
lock,n. alat kunci. -v.t.i. menyelak dengan kunci; menyimpan dalam tempat yang berkunci. lock-up n. tempat yang dikunci; bilik atau bangunan tempat penjenayah dapat dikurung sementara; lokap. lock-out mengunci pintu (supaya seseorang tidak dapat masuk).
lockable,a. dapat dikunci.
locker,n. gerobok; almari kecil.
locket,n. loket; buah rantai.
lockjaw,n. (penyakit) kancing gigi.
lockout,n. prosedur sekat masuk kerja oleh majikan hingga sesuatu pertikai- an dapat diselesaikan.
locksmith,n. tukang kunci.
locomotion,n. kebolehan bergerak; daya bergerak; tidak boleh tinggal tetap.
locomotive,n. kepala kereta api; lokomotif. -a. mengenai daya gerak; yang menyebabkan bergerak.
locum,"n. pengganti doktor atau paderi yang bercuti, dsb."
locus,n. (pl. -ci) tempat sesuatu yang tepat sekali; lokus; londar.
locust,n. belalang juta.
locution,n. perkataan atau frasa; gaya pertuturan.
lode,n. telerang yang mengandungi logam.
lodestar,n. bintang yang dijadikan sebagai pedoman untuk mengemudi- kan kapal; bintang kutub.
lodestone,n. batu magnet.
lodge,n. rumah kecil tempat tinggal sementara. -v.t.i. menyediakan tempat tidur buat sementara waktu; tinggal sebagai penyewa; tertanam; terbenam.
lodger,n. penyewa rumah tumpangan. lodging n. tempat tinggal yang disewa; (pl.) bilik yang disewa untuk didiami.
loft,n. peran; loteng. -v.t. memukul tinggi (bola).
lofty,"a. (-ier, -iest) mulia dan berbudi tinggi. loftily adv. dengan mulia; dengan bongkak dan tidak ambil peduli."
log,n. log; batang kayu yang telah dipotong. -v.t. (p.t. logged) men- catatkan atau memasukkan fakta ke dalam buku log. log-book n. buku log; buku yang mencatatkan butir- butir perjalanan. logrolling n. saling membantu secara yang tidak berprin- sip untuk kejayaan masing-masing.
log,n. kependekan bagi logaritma.
loganberry,n. sejenis buah beri ber- warna merah.
logarithm,a. logaritma; satu daripada siri angka yang dipaparkan dalam bentuk jadual untuk membolehkan pengguna menyelesaikan masalah darab dan bahagi dengan cara men- campur dan menolak. logarithmic a. berkenaan logaritma; berkenaan penyelesaian masalah darab dan bahagi dengan cara mencampur dan menolak.
loggerheads,n.pl. at loggerheads perihal tidak setuju atau berbalah.
loggia,n. selasar; serambi yang tidak berdinding.
logging,n. pembalakan; keija memotong kayu untuk mendapatkan balak.
logic,n. dapat diterima akal; logik.
logical,a. yang dapat diterima oleh akal. logically adv. dengan meng- gunakan akal fikiran secara logik. logicality n. kelogikan.
logician,n. ahli logik atau ahli mantik.
logistics,n. logistik; ilmu pemindahan dan pengangkutan bekalan atau per- khidmatan.
logo,n. (pl. -os) logo; lambang.
loin,n. bahagian di antara nisuk dengan pinggul; pinggang.
loincloth,n. cawat lelaki.
loiter,v.i. membuang masa; berlambat- lambat. loiterer n. pelengah; pelam- bat.
loll,"v.i. berbaring, duduk atau berdiri dengan malasnya; terjelir."
lollipop,n. lolipop; sejenis gula-gula. lollop v.t. (p.t. lolloped) (colloq.) ber- jalan atau berlari dengan kekok.
lolly,n. (colloq.) lolipop; sejenis gula- gula; (Austr.) manisan; (si.) wang.
Londoner,"n. penduduk London, lone a. berseorangan; tunggal. lonely a. tidak mempunyai teman; keseorangan; bersendirian; sunyi; sepi; lengang. loneliness n. kesunyian; kelengangan."
loner,n. seorang yang suka bersendirian. lonesome a. sunyi; lengang.
Jong,"a. (-er, -est) panjang; lama; jauh. -adv. untuk jangka waktu yang lama; dalam jangka masa yang dinyatakan. as atau so long as asalkan. longdistance a. jarak jauh. long face menunjukkan roman muka yang tidak senang. long johns (colloq.) pakaian dalam lelaki seperti seluar berkaki panjang. long-lived a. hidup lama, long odds nisbah pertaruhan yang jauh berbeza. long-playing record rekod atau piring hitam besar; rekod LP. long-range a. jangka panjang. longshore a. terdapat di pantai. long shot tekaan sembarangan. long-sighted a. dapat melihat dengan terang pada jarak yang jauh. long-standing a. lama; berlarutan. long-suffering a. menahan seksa yang lama, long-term a. jangka panjang. long ton lihat ton. long wave gelombang radio yang lebih 1000 meter jarak gelombang. long-winded a. menulis dan bercakap dengan panjang lebar."
long,v.i. terasa rindu. longboat n. perahu panjang. longbow n. busur panjang. longevity n. kelanjutan usia; panjang umur.
longhand,n. menulis biasa bukan menaip.
longhorn,n. sejenis lembu temakan yang bertanduk panjang.
longing,"n. hasrat, rindu atau idaman yang amat sangat."
longitude,n. garis bujur pada peta; longitud.
longitudinal,a. tentang garis bujur; membujur. longitudinally adv. secara membujur.
loo,n. (colloq.) tandas. loofah n. buah petola.
look,"v.t.i. melihat; memandang; memerhati. -n. kelihatan; rupa; perbuatan; memeriksa atau mencari. look after menjaga; merawat. look down on memandang rendah. look forward to berharap; tidak sabar- sabar. look in membuat lawatan singkat; (colloq.) menonton tele- visyen. look-in n. peluang dalam menyertai. look into menyiasat. look on memandang; melihat. look out berjaga-jaga; memilih dengan memeriksa. look-out n. memerhati; pemerhati; tempat pemerhati; peluang untuk berjaya, dsb.; hal seseorang. look up mencari maklumat; semakin baik; pergi melawat. look up to menghormati dan mengagumi."
lookeron,n. (pl. lookers-on) pemerhati; orang yang melihat.
lookingglass,n. cermin muka. lookout n. pengawal; tempat berkawal;
masa,depan; perhati-perhatikan; mencari.
loom,n. mesin tenun.
loom,v.i. muncul; menjelma; mem- bimbangkan; mengancam.
loon,n. sejenis burung besar yang makan ikan dan mengeluarkan bunyi yang kuat.
loony,n. (si.) orang gila. -a. (si.) gila. loony-bin n. (si.) rumah untuk orang gila.
loop,n. gelung; lengkok; kelok. -v.t.i. membuat gelung; menyambung atau mengikat dengan gelung; melingkari dengan gelung. loop the loop terbang seolah-olah mengikut garis bulatan menegak.
loophole,n. lubang pada tembok jalan keluar.
loopy,a. (si.) gila.
loose,"a. (-er, -est) longgar; tidak diikat; terburai. -adv. secara longgar; dengan tidak terikat. -v.t. melepas- kan; melonggarkan. at a loose end tidak ada apa-apa yang hendak dibuat. loose box kandang kuda yang tidak sempit. loose-leaf a. helaian kertas yang dapat ditanggalkan. loosely adv. secara longgar dan tidak terikat. looseness n. kelonggaran."
loosen,v.t.i. melonggarkan; melepas- kan; menggemburkan.
loot,n. harta yang diambil dengan kekerasan; harta rampasan. -v.t.i. mengambil dengan keras sebagai rampasan. looter n. orang yang merampas untuk mendapatkan harta.
lop,v.t. (p.t. lopped) mencantas; memangkas daun atau cabang.
lopeared,a. telinga yang lanjut.
lope,v.i. bergerak atau berjalan dengan langkah yang panjang. -n. langkah yang panjang.
lopsided,a. berat sebelah; sendeng sebelah.
loquacious,"a. ramah mulut; suka bercakap tanpa tujuan; becok. loquaciously adv. dengan ramah- tamah; bercakap-cakap dengan bising, loquacity n. perihal ramah-tamah; kesukaan bercakap (berceloteh)."
lord,n. raja atau pemerintah yang agung; Tuhan. -v.t. bercakap dengan angkuh seakan-akan ingin menguasai orang.
lordly,a. sifat megah. sombong atau suka memerintah.
lordship,n. panggilan kepada orang yang bergelar Lord.
lore,n. pengetahuan atau pelajaran yang turun-temurun.
lorgnette,n. kaca mata bertangkai satu. lorry n. Iori.
lose,v.t.i. (p.t. lost) hilang lenyap; tiada lagi; rugi. loser n. orang yang kalah.
loss,n. kehilangan; kematian; kerugian. be at a loss bingung. loss-leader n. barang yang dijual dengan harga yang merugikan untuk menarik ramai pelanggan.
lost,lihat lose kehilangan. -a. sesat; terpisah daripada yang empunya.
lot*,n. undi; keping tanah; lot.
lot,n. jumlah besar; banyaknya; semua- nya.
loth,a. lihat loath.
lotion,n. ubat yang disapukan pada kulit; losyen.
lottery,n. loteri.
lotto,n. loto.
lotus,n. (pl. -uses) bunga teratai.
loud,"a. (-er, -est) lantang; kuat; jelas. -adv. dengan lantang dan kuat. loud hailer pelaung; alat elektronik untuk menguatkan suara. out loud kuat sekali. loudly adv. kuat-kuat. loudness n. kelantangan; kejelasan."
loudspeaker,n. pembesar suara. lough n. tasik.
lounge,v.i. duduk dengan malasnya.
lour,v.i. muka masam; muram; marah dan mengancam.
louse,"n. (pl. lice) kutu (di kepala); (pl. louses) orang yang patut dikeji,"
lousy,"a. (-ier, -iest) dipenuhi oleh kutu; (si.) tidak elok; tidak baik; teruk."
lout,n. orang yang buruk dan biadap tingkah lakunya. loutish a. yang tidak tahu budi bahasa; buruk tingkah laku; biadab.
louvre,n. ram; anak tingkap. louvred a. dilengkapi ram atau anak tingkap.
lovable,a. mudah disayangi.
love,kasih sayang; cinta; (dalam per- mainan) tiada skor atau mata; kosong. -v.t. rasa kasih kepada; amat menyu- kai. in love mencintai; mengingini seseorang. love affair hubungan asmara. love-bird n. sejenis burung yang menunjukkan kasih sayangnya kepada temannya; pasangan yang sedang bercinta. love-child n. anak haram.
loveless,"n. tanpa kasih sayang. lovelorn a. dilamun rindu; patah hati. lovely a. (-ier, -iest) cantik dan menawan; (colloq.) menyeronokkan; sedap; baik. loveliness n. kecantikan; keelokan; kemolekan."
lover,n. kekasih; kendak; pencinta; penggemar; peminat.
lovesick,a. merindukan kasih; gila berahi.
loving,a. yang menaruh perasaan kasih sayang. lovingly adv. dengan penuh kasih sayang.
low,n. bunyi lembu. -v.i. membuat bunyi ini.
low,"a. (-er, -est) rendah; (bunyi) per- lahan; murahan; lemah. -n. paras rendah; kawasan dengan tekanan rendah. -adv. dalam. di atau kepada tahap yang rendah. Low Church bahagian Gereja England yang tidak mementingkan sangat ritual dan kuasa paderinya. low-class a. kelas bawahan. low-down a. hina. low- key a. tidak menonjol; tidak menunjukkan emosi yang berlebihan. low season musim yang tidak sibuk. Low Sunday Ahad berikutnya selepas Easter."
lowbrow,a. tidak intelektual; murahan. -n. orang yang tidak intelektual atau berbahasa.
lower,a. & adv. lihat low3. -v.t. i. merendahkan; menurunkan; memperlahankan. lower case abjad kecil. lower deck geladak atau dek bawah.
